PLAYER_NAME,PTS,REB,AST,STL,BLK,GAME_DATE
Andrew Wiggins,20,8,8,2,1,2024-03-29
Andrew Wiggins,23,6,1,0,2,2024-03-27
Andrew Wiggins,17,7,1,0,2,2024-03-26
Anfernee Simons,3,0,6,1,0,2024-03-22
Anfernee Simons,14,4,1,0,1,2024-03-20
Anfernee Simons,30,3,9,0,0,2024-03-18
Anfernee Simons,25,4,8,0,0,2024-03-16
Anfernee Simons,36,7,8,1,0,2024-03-13
Anfernee Simons,17,4,3,0,0,2024-03-11
Anfernee Simons,23,4,7,1,0,2024-03-09
Anfernee Simons,23,3,3,3,0,2024-03-08
Anfernee Simons,29,3,5,1,0,2024-03-06
Anfernee Simons,34,5,14,0,0,2024-03-04
Anthony Black,5,1,0,0,0,2024-04-14
Anthony Black,5,0,1,0,0,2024-04-10
Anthony Black,0,0,0,0,0,2024-04-09
Anthony Black,0,0,0,0,0,2024-04-07
Anthony Black,2,0,0,1,0,2024-03-30
Anthony Black,6,1,1,0,0,2024-03-27
Anthony Black,2,1,1,0,1,2024-03-21
Anthony Black,2,1,1,0,1,2024-03-19
Anthony Black,2,0,0,1,0,2024-03-17
Anthony Black,0,0,1,0,1,2024-03-13
Anthony Davis,30,11,3,2,0,2024-04-14
Anthony Davis,36,14,5,1,2,2024-04-12
Anthony Davis,4,4,3,2,0,2024-04-07
Anthony Davis,22,13,4,3,6,2024-04-06
Anthony Davis,35,18,1,2,3,2024-04-03
Anthony Davis,21,12,1,0,0,2024-04-02
Anthony Davis,24,14,0,0,3,2024-03-31
Anthony Davis,24,15,3,0,0,2024-03-29
Anthony Davis,34,23,2,2,4,2024-03-26
Anthony Davis,36,16,3,2,1,2024-03-24
Anthony Edwards,13,6,4,1,1,2024-04-14
Anthony Edwards,14,4,4,2,0,2024-04-12
Anthony Edwards,25,2,4,0,0,2024-04-10
Anthony Edwards,51,6,7,0,0,2024-04-09
Anthony Edwards,26,1,8,1,0,2024-04-07
Anthony Edwards,17,8,3,3,0,2024-04-05
Anthony Edwards,28,3,6,2,0,2024-04-03
Anthony Edwards,21,5,3,2,0,2024-04-02
Anthony Edwards,22,11,5,0,1,2024-03-31
Anthony Edwards,25,4,5,3,0,2024-03-29
Anthony Gill,12,5,3,0,0,2024-04-14
Anthony Gill,4,0,1,1,0,2024-04-12
Anthony Gill,15,9,3,0,3,2024-04-09
Anthony Gill,8,3,1,2,1,2024-04-05
Anthony Gill,6,2,3,1,0,2024-04-03
Anthony Gill,12,9,0,0,0,2024-04-02
Anthony Gill,18,4,0,0,0,2024-03-31
Anthony Gill,6,3,0,0,0,2024-03-29
Anthony Gill,5,3,2,1,0,2024-03-27
Anthony Gill,0,0,0,0,0,2024-03-25
Armoni Brooks,0,1,0,0,0,2024-01-03
Armoni Brooks,5,1,0,0,0,2024-01-02
Ausar Thompson,4,5,0,1,0,2024-03-09
Ausar Thompson,14,7,3,1,1,2024-03-07
Ausar Thompson,9,6,2,0,2,2024-03-05
Ausar Thompson,8,6,1,3,1,2024-03-03
Ausar Thompson,15,7,3,5,2,2024-03-01
Ausar Thompson,13,8,3,0,1,2024-02-27
Ausar Thompson,7,4,3,3,0,2024-02-26
Ausar Thompson,8,2,0,0,0,2024-02-24
Ausar Thompson,11,7,5,2,3,2024-02-22
Ausar Thompson,14,7,1,2,1,2024-02-14
Austin Reaves,20,1,2,1,1,2024-04-14
Austin Reaves,13,0,1,0,2,2024-04-12
Austin Reaves,22,7,6,0,0,2024-04-09
Austin Reaves,14,3,2,1,0,2024-04-07
Austin Reaves,7,2,6,1,0,2024-04-06
Austin Reaves,16,4,4,2,0,2024-04-03
Austin Reaves,7,4,6,0,3,2024-04-02
Austin Reaves,12,7,6,1,0,2024-03-31
Austin Reaves,16,13,6,1,0,2024-03-29
Austin Reaves,13,2,11,0,0,2024-03-27
Ayo Dosunmu,14,5,4,2,2,2024-04-07
Ayo Dosunmu,24,6,5,2,0,2024-04-05
Ayo Dosunmu,15,3,1,1,0,2024-04-01
Ayo Dosunmu,13,3,6,2,0,2024-03-31
Ayo Dosunmu,16,3,3,0,0,2024-03-29
Ayo Dosunmu,17,3,4,0,2,2024-03-27
Ayo Dosunmu,12,2,3,0,0,2024-03-25
Ayo Dosunmu,14,2,4,2,0,2024-03-23
Ayo Dosunmu,35,2,2,3,0,2024-03-21
Ayo Dosunmu,23,1,10,1,0,2024-03-18
Bam Adebayo,17,6,2,3,1,2024-04-14
Bam Adebayo,19,6,3,0,0,2024-04-12
Bam Adebayo,8,3,0,0,0,2024-04-10
Bam Adebayo,10,7,7,3,1,2024-04-09
Bam Adebayo,20,12,3,0,1,2024-04-07
Bam Adebayo,18,12,6,1,1,2024-04-05
Bam Adebayo,14,11,3,0,1,2024-04-04
Bam Adebayo,15,9,1,1,0,2024-04-02
Bam Adebayo,22,10,5,2,1,2024-03-31
Bam Adebayo,21,12,9,2,1,2024-03-29
Ben Sheppard,7,4,2,1,0,2024-04-14
Ben Sheppard,3,3,1,0,0,2024-04-12
Ben Sheppard,11,2,2,2,0,2024-04-09
Ben Sheppard,0,1,2,0,0,2024-04-07
Ben Sheppard,8,2,0,2,0,2024-04-05
Ben Sheppard,8,1,2,2,0,2024-04-03
Ben Sheppard,3,1,1,0,0,2024-04-01
Ben Sheppard,7,2,3,0,0,2024-03-29
Ben Sheppard,0,0,0,0,0,2024-03-27
Ben Sheppard,7,5,0,2,0,2024-03-25
Ben Simmons,4,6,3,0,0,2024-02-26
Ben Simmons,4,8,1,3,1,2024-02-24
Ben Simmons,2,4,4,0,0,2024-02-22
Ben Simmons,5,6,8,0,0,2024-02-13
Ben Simmons,13,3,5,3,2,2024-02-10
Ben Simmons,6,1,2,1,0,2024-02-08
Ben Simmons,9,9,7,1,0,2024-02-06
Ben Simmons,0,9,5,0,0,2024-02-03
Ben Simmons,10,8,11,1,1,2024-01-29
Bennedict Mathurin,19,0,0,0,0,2024-03-05
Bennedict Mathurin,13,3,3,1,2,2024-03-03
Bennedict Mathurin,13,2,1,0,0,2024-03-01
Bennedict Mathurin,16,4,2,0,0,2024-02-28
Bennedict Mathurin,34,9,5,2,1,2024-02-26
Bennedict Mathurin,14,11,5,3,0,2024-02-25
Bennedict Mathurin,15,6,5,1,0,2024-02-22
Bennedict Mathurin,0,2,1,0,0,2024-02-12
Bennedict Mathurin,4,6,0,0,1,2024-02-10
Bennedict Mathurin,11,0,1,0,0,2024-02-08
Bilal Coulibaly,15,8,2,1,0,2024-03-16
Bilal Coulibaly,10,3,4,2,0,2024-03-14
Bilal Coulibaly,11,5,4,2,1,2024-03-12
Bilal Coulibaly,11,4,1,2,2,2024-03-10
Bilal Coulibaly,11,4,0,1,1,2024-03-08
Bilal Coulibaly,7,4,1,1,1,2024-03-06
Bilal Coulibaly,7,4,1,0,1,2024-03-04
Bilal Coulibaly,3,1,1,0,0,2024-02-25
Bilal Coulibaly,11,5,2,2,0,2024-02-23
Bilal Coulibaly,4,1,2,1,1,2024-02-22
Bismack Biyombo,6,6,0,0,1,2024-04-14
Bismack Biyombo,6,6,0,0,1,2024-04-10
Bismack Biyombo,2,0,0,0,0,2024-04-03
Bismack Biyombo,0,0,0,0,0,2024-03-29
Bismack Biyombo,0,0,0,1,0,2024-03-24
Bismack Biyombo,2,2,1,0,0,2024-03-10
Bismack Biyombo,0,0,0,0,0,2024-03-04
Bismack Biyombo,2,2,1,0,0,2024-03-03
Bismack Biyombo,0,1,0,0,0,2024-02-29
Bismack Biyombo,0,1,0,0,1,2024-02-23
Blake Wesley,17,7,5,3,0,2024-04-14
Blake Wesley,2,1,4,0,0,2024-04-12
Blake Wesley,7,2,1,0,0,2024-04-10
Blake Wesley,13,2,3,0,0,2024-04-09
Blake Wesley,6,4,0,0,0,2024-04-07
Blake Wesley,1,1,5,0,0,2024-04-05
Blake Wesley,2,1,4,0,0,2024-04-02
Blake Wesley,1,1,5,0,0,2024-03-31
Blake Wesley,4,5,3,0,0,2024-03-29
Blake Wesley,1,2,4,0,0,2024-03-27
Boban Marjanovic,13,8,1,1,1,2024-04-14
Boban Marjanovic,4,1,1,0,0,2024-04-04
Boban Marjanovic,0,1,0,0,0,2024-03-23
Boban Marjanovic,5,0,0,0,0,2024-03-19
Boban Marjanovic,0,0,0,0,0,2024-03-16
Boban Marjanovic,6,4,0,0,0,2024-02-02
Boban Marjanovic,3,3,0,0,0,2024-01-26
Boban Marjanovic,0,0,0,0,0,2024-01-24
Boban Marjanovic,2,3,0,0,0,2024-01-13
Boban Marjanovic,2,3,0,0,0,2024-01-05
Bobby Portis,17,10,1,2,2,2024-04-14
Bobby Portis,4,8,3,0,1,2024-04-12
Bobby Portis,30,9,3,5,0,2024-04-10
Bobby Portis,15,10,2,1,0,2024-04-09
Bobby Portis,24,5,2,0,0,2024-04-07
Bobby Portis,19,10,1,0,1,2024-04-05
Bobby Portis,19,7,3,1,2,2024-04-03
Bobby Portis,12,12,3,0,1,2024-04-02
Bobby Portis,13,4,2,2,0,2024-03-30
Bobby Portis,5,7,0,0,0,2024-03-28
Bogdan Bogdanovic,18,4,1,2,0,2024-04-14
Bogdan Bogdanovic,17,2,2,0,0,2024-04-12
Bogdan Bogdanovic,19,1,8,1,0,2024-04-10
Bogdan Bogdanovic,11,1,2,1,1,2024-04-09
Bogdan Bogdanovic,18,2,2,1,1,2024-04-06
Bogdan Bogdanovic,17,7,2,1,0,2024-04-04
Bogdan Bogdanovic,10,2,4,2,2,2024-04-03
Bogdan Bogdanovic,20,4,6,0,2,2024-04-01
Bogdan Bogdanovic,38,10,4,1,0,2024-03-30
Bogdan Bogdanovic,24,7,5,1,0,2024-03-28
Bojan Bogdanovic,13,2,1,0,0,2024-04-14
Bojan Bogdanovic,9,0,1,1,0,2024-04-12
Bojan Bogdanovic,14,3,0,1,0,2024-04-11
Bojan Bogdanovic,3,1,1,0,0,2024-04-09
Bojan Bogdanovic,15,1,1,0,0,2024-04-07
Bojan Bogdanovic,9,1,1,0,0,2024-04-05
Bojan Bogdanovic,12,1,0,0,0,2024-04-04
Bojan Bogdanovic,16,6,0,0,0,2024-04-02
Bojan Bogdanovic,5,1,0,0,0,2024-03-31
Bojan Bogdanovic,4,2,0,0,0,2024-03-29
Bol Bol,4,2,0,0,0,2024-04-14
Bol Bol,0,0,0,0,0,2024-04-10
Bol Bol,2,2,0,1,0,2024-04-09
Bol Bol,2,2,0,0,0,2024-04-07
Bol Bol,2,3,0,1,1,2024-04-05
Bol Bol,15,6,1,2,2,2024-04-03
Bol Bol,0,2,0,0,0,2024-04-01
Bol Bol,0,1,1,0,0,2024-03-29
Bol Bol,8,5,1,0,0,2024-03-27
Bol Bol,0,2,0,0,1,2024-03-25
Bones Hyland,20,5,6,3,1,2024-04-12
Bones Hyland,37,4,9,3,0,2024-04-10
Bones Hyland,7,9,2,0,0,2024-04-09
Bones Hyland,5,1,4,0,0,2024-04-05
Bones Hyland,2,2,1,0,0,2024-04-02
Bones Hyland,0,0,0,0,0,2024-03-25
Bones Hyland,0,0,0,0,0,2024-03-22
Bones Hyland,0,1,2,0,0,2024-03-20
Bones Hyland,2,1,1,0,0,2024-03-17
Bones Hyland,5,2,4,2,1,2024-03-15
Bradley Beal,36,6,5,2,1,2024-04-14
Bradley Beal,36,6,5,2,1,2024-04-14
Bradley Beal,36,6,5,2,1,2024-04-14
Bradley Beal,36,6,5,2,1,2024-04-14
Bradley Beal,20,9,4,2,1,2024-04-12
Bradley Beal,20,9,4,2,1,2024-04-12
Bradley Beal,20,9,4,2,1,2024-04-12
Bradley Beal,20,9,4,2,1,2024-04-12
Bradley Beal,26,5,4,0,0,2024-04-10
Bradley Beal,26,5,4,0,0,2024-04-10
Brandin Podziemski,7,9,2,2,0,2024-04-14
Brandin Podziemski,5,7,1,0,1,2024-04-12
Brandin Podziemski,9,3,4,0,0,2024-04-11
Brandin Podziemski,13,3,2,0,0,2024-04-09
Brandin Podziemski,16,7,6,0,0,2024-04-07
Brandin Podziemski,14,4,5,0,0,2024-04-05
Brandin Podziemski,4,4,2,1,0,2024-04-04
Brandin Podziemski,5,10,5,0,0,2024-04-02
Brandin Podziemski,12,7,4,2,0,2024-03-31
Brandin Podziemski,4,5,3,0,0,2024-03-29
Brandon Boston Jr.,15,6,3,4,0,2024-04-14
Brandon Boston Jr.,10,5,1,1,0,2024-04-12
Brandon Boston Jr.,23,7,2,2,1,2024-04-10
Brandon Boston Jr.,0,0,0,0,0,2024-04-09
Brandon Boston Jr.,4,0,0,0,0,2024-04-05
Brandon Boston Jr.,9,4,0,0,0,2024-04-02
Brandon Boston Jr.,4,2,0,0,0,2024-03-24
Brandon Boston Jr.,9,4,1,1,0,2024-03-22
Brandon Boston Jr.,9,2,0,1,2,2024-03-20
Brandon Boston Jr.,0,0,0,0,0,2024-03-17
Brandon Clarke,14,1,0,1,1,2024-04-09
Brandon Clarke,6,8,2,1,0,2024-04-06
Brandon Clarke,14,7,3,0,2,2024-04-03
Brandon Clarke,15,7,0,1,2,2024-04-01
Brandon Clarke,13,4,3,1,1,2024-03-30
Brandon Clarke,6,5,1,1,0,2024-03-27
Brandon Ingram,13,5,0,0,0,2024-04-14
Brandon Ingram,14,4,3,1,0,2024-03-21
Brandon Ingram,11,4,6,0,1,2024-03-19
Brandon Ingram,22,7,2,1,4,2024-03-16
Brandon Ingram,13,5,7,1,0,2024-03-15
Brandon Ingram,20,5,5,1,0,2024-03-13
Brandon Ingram,7,7,10,1,0,2024-03-10
Brandon Ingram,17,7,5,0,2,2024-03-08
Brandon Ingram,12,3,6,0,0,2024-03-05
Brandon Ingram,34,8,6,1,0,2024-03-01
Brandon Miller,9,2,0,0,0,2024-04-12
Brandon Miller,27,3,2,0,0,2024-04-10
Brandon Miller,21,6,4,3,0,2024-04-09
Brandon Miller,13,3,4,1,3,2024-04-07
Brandon Miller,32,6,2,1,1,2024-04-05
Brandon Miller,21,2,1,2,1,2024-04-03
Brandon Miller,19,5,2,1,0,2024-04-01
Brandon Miller,22,6,4,0,1,2024-03-31
Brandon Miller,12,3,3,0,1,2024-03-29
Brandon Miller,31,6,1,0,1,2024-03-27
Braxton Key,2,2,0,0,0,2024-04-14
Braxton Key,0,0,0,0,0,2024-03-29
Braxton Key,3,2,1,0,0,2024-03-25
Braxton Key,0,1,0,0,0,2024-02-25
Braxton Key,0,1,0,0,1,2024-02-23
Braxton Key,2,2,0,0,0,2024-02-12
Braxton Key,0,0,0,0,0,2024-02-02
Braxton Key,0,0,0,0,0,2024-01-12
Braxton Key,2,1,1,1,0,2024-01-10
Braxton Key,2,1,0,0,0,2024-01-07
Brice Sensabaugh,14,3,0,1,0,2024-04-14
Brice Sensabaugh,9,3,1,1,2,2024-04-12
Brice Sensabaugh,17,6,3,0,0,2024-04-11
Brice Sensabaugh,10,5,2,0,0,2024-04-09
Brice Sensabaugh,9,3,3,0,1,2024-04-07
Brice Sensabaugh,4,4,1,0,1,2024-04-05
Brice Sensabaugh,22,7,4,1,0,2024-04-02
Brice Sensabaugh,22,4,3,2,0,2024-03-31
Brice Sensabaugh,0,4,5,1,0,2024-03-29
Brice Sensabaugh,9,1,1,1,0,2024-03-27
Brook Lopez,11,3,0,0,2,2024-04-14
Brook Lopez,18,2,1,0,1,2024-04-12
Brook Lopez,10,4,4,1,3,2024-04-10
Brook Lopez,15,6,0,0,2,2024-04-09
Brook Lopez,13,5,1,0,3,2024-04-07
Brook Lopez,15,4,1,0,2,2024-04-05
Brook Lopez,25,10,1,0,0,2024-04-03
Brook Lopez,6,2,1,1,3,2024-04-02
Brook Lopez,13,3,0,0,2,2024-03-30
Brook Lopez,7,5,1,0,3,2024-03-28
Bruce Brown,6,0,0,0,0,2024-04-14
Bruce Brown,14,4,4,0,0,2024-04-12
Bruce Brown,16,3,5,0,0,2024-04-09
Bruce Brown,9,2,1,1,0,2024-04-07
Bruce Brown,5,6,1,2,0,2024-04-02
Bruce Brown,18,4,6,2,0,2024-03-31
Bruce Brown,3,0,1,0,0,2024-03-27
Bruce Brown,10,2,1,1,0,2024-03-25
Bruce Brown,11,6,3,1,0,2024-03-23
Bruce Brown,10,3,5,0,0,2024-03-22
Bruno Fernando,12,2,1,0,0,2024-04-14
Bruno Fernando,14,5,2,0,0,2024-04-12
Bruno Fernando,5,6,0,0,0,2024-04-10
Bruno Fernando,12,4,0,0,0,2024-04-09
Bruno Fernando,6,6,2,0,0,2024-04-06
Bruno Fernando,10,5,2,1,1,2024-04-04
Bruno Fernando,0,1,3,0,1,2024-04-03
Bruno Fernando,10,4,4,1,0,2024-04-01
Bruno Fernando,10,4,2,0,1,2024-03-30
Bruno Fernando,6,4,2,1,1,2024-03-28
Bryce McGowens,18,3,4,0,1,2024-04-14
